,group,timespan,magnitude,drop,shape,startdate,enddate
164,164,0 days 00:12:00,833.9855263157897,6.008666569339198,-41.51428571428577,2021-01-07 17:38:00,2021-01-07 17:50:00
165,165,0 days 00:38:00,6727.049999999999,61.18253213946275,-135.3813141025641,2021-01-08 03:56:00,2021-01-08 04:34:00
166,166,0 days 00:06:00,3175.6378571428577,20.91302657490617,-817.6407142857142,2021-01-09 04:26:00,2021-01-09 04:32:00
167,167,0 days 00:36:00,11923.314285714285,82.83530836261141,-222.4723684210527,2021-01-09 04:30:00,2021-01-09 05:06:00
168,168,0 days 00:16:00,3732.25,45.619556913674565,-195.22222222222223,2021-01-09 09:00:00,2021-01-09 09:16:00
169,169,0 days 00:16:00,3732.25,45.619556913674565,-195.22222222222223,2021-01-09 09:00:00,2021-01-09 09:16:00
170,170,0 days 00:16:00,786.5467948717942,5.25946865784239,-2.7599415204676916,2021-01-09 15:04:00,2021-01-09 15:20:00
171,171,0 days 00:10:00,1749.4500000000007,11.858688118434372,-215.9469185784977,2021-01-09 22:58:00,2021-01-09 23:08:00
172,172,0 days 00:12:00,3357.8160256410265,17.840187372964024,-440.86648351648336,2021-01-10 01:14:00,2021-01-10 01:26:00
173,173,0 days 00:20:00,968.3910256410254,6.593237293520801,-19.291216216216277,2021-01-13 15:24:00,2021-01-13 15:44:00
174,174,0 days 00:06:00,1086.5263157894733,6.732126959487886,-290.8147773279352,2021-01-15 23:58:00,2021-01-16 00:04:00
175,175,0 days 00:12:00,10139.833333333332,67.3947576562545,-502.7403061224489,2021-01-16 00:22:00,2021-01-16 00:34:00
176,176,0 days 00:22:00,3489.9375,25.413708356089572,-95.32800925925933,2021-01-17 14:32:00,2021-01-17 14:54:00
177,177,0 days 00:06:00,2438.057874762808,20.345424721359265,-249.69506578947357,2021-01-17 14:56:00,2021-01-17 15:02:00
178,178,0 days 00:14:00,4383.357843137253,28.59442037783947,-176.68918918918916,2021-01-17 16:18:00,2021-01-17 16:32:00
179,179,0 days 00:12:00,4843.439075630253,31.782936439007315,-185.6795634920636,2021-01-17 16:50:00,2021-01-17 17:02:00
180,180,0 days 01:14:00,11165.092105263158,99.50759077146067,-91.86583445793974,2021-01-20 13:02:00,2021-01-20 14:16:00
181,181,0 days 01:14:00,11165.092105263158,99.50759077146067,-91.86583445793974,2021-01-20 13:02:00,2021-01-20 14:16:00
182,182,0 days 00:08:00,1529.049816849817,17.44597306328579,29.94692307692312,2021-01-20 14:22:00,2021-01-20 14:30:00
183,183,0 days 00:04:00,1464.914102564103,16.83741576561981,416.6047619047619,2021-01-20 14:26:00,2021-01-20 14:30:00
184,184,0 days 00:16:00,1014.6901709401718,6.122560017204421,-39.48888888888885,2021-01-20 16:54:00,2021-01-20 17:10:00
185,185,0 days 00:06:00,1446.0262820512817,9.017908684020739,-387.3875000000003,2021-01-20 22:44:00,2021-01-20 22:50:00
186,186,0 days 00:40:00,10555.76574074074,72.35415485778344,-174.62261904761908,2021-01-20 22:50:00,2021-01-20 23:30:00
187,187,0 days 00:06:00,1101.3500000000004,8.219367212833362,-254.2125000000001,2021-01-21 00:18:00,2021-01-21 00:24:00
