,group,timespan,magnitude,drop,shape,startdate,enddate,recoverytime
139,139,0 days 00:20:00,70800.0,88.50774442763742,-992.4545454545455,2008-04-15 15:10:00,2008-04-15 15:30:00,0 days 00:30:00
140,140,0 days 00:12:00,34105.0,41.471600374527284,-472.57142857142856,2008-04-15 15:44:00,2008-04-15 15:56:00,0 days 00:16:00
141,141,0 days 00:06:00,29517.0,38.01336784762199,6264.25,2008-04-15 15:50:00,2008-04-15 15:56:00,0 days 00:06:00
142,142,0 days 00:20:00,77297.0,71.37765137174148,-1049.2727272727273,2008-04-15 18:20:00,2008-04-15 18:40:00,0 days 00:48:00
143,143,0 days 00:06:00,36288.0,32.61784057814691,231.5,2008-04-15 19:24:00,2008-04-15 19:30:00,0 days 00:06:00
144,144,0 days 00:06:00,7277.0,6.626116569388927,372.5,2008-04-16 17:04:00,2008-04-16 17:10:00,0 days 00:06:00
145,145,0 days 00:06:00,6757.0,6.082455666576649,219.5,2008-04-16 17:14:00,2008-04-16 17:20:00,0 days 00:06:00
146,146,0 days 00:06:00,6712.0,5.967230021070222,194.25,2008-04-16 17:34:00,2008-04-16 17:40:00,0 days 00:06:00
147,147,0 days 00:14:00,9525.0,8.545283272776203,-791.375,2008-04-17 17:42:00,2008-04-17 17:56:00,0 days 02:00:00
148,148,0 days 00:06:00,29206.0,57.22402915474744,71.25,2008-04-18 10:10:00,2008-04-18 10:16:00,0 days 00:06:00
149,149,0 days 00:06:00,25880.0,42.28965472163668,370.0,2008-04-18 12:06:00,2008-04-18 12:12:00,0 days 00:06:00
150,150,0 days 00:06:00,94144.0,79.56122336874309,-72.5,2008-04-18 17:28:00,2008-04-18 17:34:00,0 days 00:06:00
151,151,0 days 00:06:00,52181.0,42.297715740155304,116.0,2008-04-18 20:22:00,2008-04-18 20:28:00,0 days 00:06:00
152,152,0 days 00:16:00,48286.0,69.67174085563812,-705.7777777777778,2008-04-22 15:24:00,2008-04-22 15:40:00,0 days 00:28:00
153,153,0 days 00:06:00,9593.0,14.140208130656532,835.75,2008-04-22 15:44:00,2008-04-22 15:50:00,0 days 00:06:00
154,154,0 days 00:06:00,61176.0,69.20596852834372,-465.5,2008-04-23 16:24:00,2008-04-23 16:30:00,0 days 00:12:00
155,155,0 days 00:06:00,33724.0,34.26434878026477,-8.5,2008-04-30 17:46:00,2008-04-30 17:52:00,0 days 00:06:00
156,156,0 days 00:20:00,35124.0,59.79469195280979,-302.0,2008-05-07 13:12:00,2008-05-07 13:32:00,0 days 00:26:00
157,157,0 days 00:06:00,17952.0,26.78603401969562,-4972.25,2008-05-07 16:20:00,2008-05-07 16:26:00,0 days 00:12:00
158,158,0 days 00:12:00,39486.0,49.133940570404654,2878.4285714285716,2008-05-07 16:24:00,2008-05-07 16:36:00,0 days 00:12:00
159,159,0 days 00:22:00,19501.0,24.3853945229461,-520.75,2008-05-07 16:40:00,2008-05-07 17:02:00,0 days 00:28:00
160,160,0 days 00:10:00,11034.0,11.940395416030896,-140.16666666666666,2008-05-09 17:36:00,2008-05-09 17:46:00,0 days 00:18:00
161,161,0 days 00:04:00,8051.0,8.883567992231974,3084.3333333333335,2008-05-09 17:40:00,2008-05-09 17:44:00,0 days 00:04:00
162,162,0 days 00:16:00,63817.0,78.46577565749837,-761.6666666666666,2008-05-13 16:58:00,2008-05-13 17:14:00,0 days 00:24:00
163,163,0 days 00:06:00,9130.0,9.466829804442042,46.5,2008-05-16 16:58:00,2008-05-16 17:04:00,0 days 00:08:00
164,164,0 days 00:06:00,8752.0,6.182319076042802,338.25,2008-05-18 15:54:00,2008-05-18 16:00:00,0 days 00:06:00
165,165,0 days 00:06:00,31117.0,61.46567901234568,630.0,2008-05-21 12:38:00,2008-05-21 12:44:00,0 days 00:06:00
166,166,0 days 00:12:00,37339.0,72.18055287067466,-981.1428571428571,2008-05-21 12:54:00,2008-05-21 13:06:00,0 days 00:18:00
167,167,0 days 00:06:00,17552.0,31.546217581193048,2230.25,2008-05-21 13:08:00,2008-05-21 13:14:00,0 days 00:06:00
168,168,0 days 00:10:00,24366.0,43.79302287963479,177.0,2008-05-21 13:14:00,2008-05-21 13:24:00,0 days 00:12:00
169,169,0 days 00:04:00,20284.0,36.87664757749296,7910.666666666667,2008-05-21 13:20:00,2008-05-21 13:24:00,0 days 00:04:00
170,170,0 days 00:06:00,7459.0,15.266691227639285,-62.25,2008-05-23 10:20:00,2008-05-23 10:26:00,0 days 00:16:00
171,171,0 days 00:16:00,55962.0,64.49612760464687,-858.5555555555555,2008-05-23 15:32:00,2008-05-23 15:48:00,0 days 00:24:00
172,172,0 days 00:06:00,16959.0,15.856645972024836,113.75,2008-05-29 16:52:00,2008-05-29 16:58:00,0 days 00:06:00
173,173,0 days 00:06:00,45436.0,41.867622531629245,11.0,2008-05-29 17:34:00,2008-05-29 17:40:00,0 days 00:06:00
174,174,0 days 00:06:00,74503.0,66.69680584401632,840.75,2008-06-02 17:08:00,2008-06-02 17:14:00,0 days 00:06:00
175,175,0 days 00:20:00,43277.0,83.82629244387627,-544.8181818181819,2008-06-05 12:10:00,2008-06-05 12:30:00,0 days 00:30:00
176,176,0 days 00:06:00,9146.0,16.377180102424532,-6.5,2008-06-05 13:00:00,2008-06-05 13:06:00,0 days 00:06:00
177,177,0 days 00:20:00,87792.0,64.27834032552113,-1214.6363636363637,2008-06-05 18:20:00,2008-06-05 18:40:00,0 days 00:36:00
178,178,0 days 00:06:00,96245.0,65.80404758648982,348.5,2008-06-05 19:36:00,2008-06-05 19:42:00,0 days 00:06:00
179,179,0 days 00:12:00,7580.0,14.209658068386318,-182.14285714285714,2008-06-09 11:04:00,2008-06-09 11:16:00,0 days 01:08:00
